id,rating,party_id,text,sentDate
1278390,NULL,1,xxx,"2025-11-01 01:42:13"
1278393,NULL,1,xxx,"2025-11-01 07:17:13"
1278395,NULL,1,xxx,"2025-11-01 08:27:07"
1278400,NULL,1,xxx,"2025-11-01 11:27:28"
1278402,NULL,1,xxx,"2025-11-01 13:25:24"
1278403,NULL,1,xxx,"2025-11-01 13:46:06"
1278406,NULL,1,xxx,"2025-11-01 15:57:35"
1278407,NULL,1,xxx,"2025-11-01 16:28:39"
1278408,NULL,1,xxx,"2025-11-01 16:37:45"
1278409,NULL,2,xxx,"2025-11-01 17:11:54"
1278410,NULL,1,xxx,"2025-11-01 17:17:34"
1278411,NULL,3,xxx,"2025-11-01 18:25:43"
1278412,NULL,1,xxx,"2025-11-01 18:39:10"
1278414,NULL,1,xxx,"2025-11-01 18:48:07"
1278416,NULL,1,xxx,"2025-11-01 18:57:45"
1278418,NULL,1,xxx,"2025-11-01 21:46:54"
1278420,NULL,1,xxx,"2025-11-01 22:50:12"
1278424,NULL,1,xxx,"2025-11-02 11:28:12"
1278425,NULL,1,xxx,"2025-11-02 11:32:26"
1278427,NULL,1,xxx,"2025-11-02 12:27:50"
1278430,NULL,1,xxx,"2025-11-02 14:20:06"
1278431,NULL,1,xxx,"2025-11-02 14:28:53"
1278434,NULL,1,xxx,"2025-11-02 17:03:18"
1278436,NULL,1,xxx,"2025-11-02 17:38:18"
1278437,NULL,1,xxx,"2025-11-02 17:39:39"
1278440,NULL,1,xxx,"2025-11-02 17:51:17"
1278441,NULL,1,xxx,"2025-11-02 18:05:37"
1278442,NULL,1,xxx,"2025-11-02 18:08:53"
1278446,NULL,1,xxx,"2025-11-02 19:58:09"
1278447,NULL,2,xxx,"2025-11-02 20:24:54"
1278451,NULL,1,xxx,"2025-11-02 22:08:04"
1278459,NULL,2,xxx,"2025-11-03 04:41:03"
1278463,NULL,4,xxx,"2025-11-03 06:33:10"
1278464,46522,4,xxx,"2025-11-03 06:58:13"
1278465,NULL,4,xxx,"2025-11-03 06:59:11"
1278466,NULL,1,xxx,"2025-11-03 07:21:22"
1278467,NULL,4,xxx,"2025-11-03 07:45:15"
1278469,NULL,4,xxx,"2025-11-03 07:54:43"
1278472,NULL,1,xxx,"2025-11-03 07:57:47"
1278474,NULL,3,xxx,"2025-11-03 08:02:32"
1278476,NULL,1,xxx,"2025-11-03 08:05:36"
1278477,NULL,2,xxx,"2025-11-03 08:06:43"
1278479,NULL,2,xxx,"2025-11-03 08:08:07"
1278480,NULL,1,xxx,"2025-11-03 08:10:33"
1278485,NULL,1,xxx,"2025-11-03 08:16:12"
1278486,NULL,3,xxx,"2025-11-03 08:17:00"
1278492,NULL,2,xxx,"2025-11-03 08:22:00"
1278499,NULL,4,xxx,"2025-11-03 08:36:54"
1278500,NULL,3,xxx,"2025-11-03 08:37:32"
1278501,NULL,1,xxx,"2025-11-03 08:39:58"
1278503,NULL,4,xxx,"2025-11-03 08:43:54"
1278504,NULL,2,xxx,"2025-11-03 08:45:11"
1278505,NULL,1,xxx,"2025-11-03 08:46:36"
1278508,NULL,4,xxx,"2025-11-03 08:49:23"
1278509,NULL,1,xxx,"2025-11-03 08:51:43"
1278513,NULL,2,xxx,"2025-11-03 08:56:13"
1278519,NULL,1,xxx,"2025-11-03 09:09:16"
1278523,NULL,1,xxx,"2025-11-03 09:12:58"
1278524,NULL,2,xxx,"2025-11-03 09:14:16"
1278525,NULL,2,xxx,"2025-11-03 09:16:19"
1278527,NULL,2,xxx,"2025-11-03 09:17:38"
1278528,NULL,3,xxx,"2025-11-03 09:18:57"
1278529,NULL,4,xxx,"2025-11-03 09:22:26"
1278531,NULL,4,xxx,"2025-11-03 09:26:14"
1278532,NULL,2,xxx,"2025-11-03 09:26:27"
1278533,NULL,3,xxx,"2025-11-03 09:27:15"
1278535,NULL,1,xxx,"2025-11-03 09:28:48"
1278536,NULL,4,xxx,"2025-11-03 09:29:15"
1278537,NULL,2,xxx,"2025-11-03 09:30:42"
1278540,NULL,1,xxx,"2025-11-03 09:35:28"
1278544,NULL,1,xxx,"2025-11-03 09:37:44"
1278549,NULL,1,xxx,"2025-11-03 09:46:25"
1278553,46481,4,xxx,"2025-11-03 09:47:26"
1278556,NULL,2,xxx,"2025-11-03 09:49:33"
1278561,NULL,4,xxx,"2025-11-03 09:58:25"
1278562,46485,4,xxx,"2025-11-03 10:07:06"
1278563,NULL,1,xxx,"2025-11-03 09:59:56"
1278565,NULL,2,xxx,"2025-11-03 10:00:26"
1278566,NULL,1,xxx,"2025-11-03 10:02:39"
1278567,NULL,4,xxx,"2025-11-03 10:11:49"
1278568,46489,2,xxx,"2025-11-03 10:05:14"
1278570,NULL,1,xxx,"2025-11-03 10:05:48"
1278571,NULL,1,xxx,"2025-11-03 10:08:33"
1278577,NULL,1,xxx,"2025-11-03 10:11:29"
1278581,NULL,2,xxx,"2025-11-03 10:15:30"
1278582,NULL,1,xxx,"2025-11-03 10:15:57"
1278586,NULL,1,xxx,"2025-11-03 10:27:56"
1278588,NULL,1,xxx,"2025-11-03 10:29:23"
1278591,NULL,2,xxx,"2025-11-03 10:32:05"
1278592,NULL,1,xxx,"2025-11-03 10:33:14"
1278593,NULL,4,xxx,"2025-11-03 10:33:44"
1278594,NULL,2,xxx,"2025-11-03 10:34:57"
1278595,NULL,1,xxx,"2025-11-03 10:36:02"
1278597,NULL,1,xxx,"2025-11-03 10:38:02"
1278598,NULL,4,xxx,"2025-11-03 10:38:30"
1278599,NULL,2,xxx,"2025-11-03 10:41:51"
1278600,NULL,4,xxx,"2025-11-03 10:42:19"
1278602,NULL,1,xxx,"2025-11-03 10:45:43"
1278605,NULL,1,xxx,"2025-11-03 10:49:14"
1278607,NULL,1,xxx,"2025-11-03 10:50:49"
1278609,NULL,1,xxx,"2025-11-03 10:51:10"
1278618,NULL,2,xxx,"2025-11-03 11:02:13"
1278623,NULL,1,xxx,"2025-11-03 11:07:03"
1278628,NULL,4,xxx,"2025-11-03 11:14:40"
1278632,NULL,2,xxx,"2025-11-03 11:22:16"
1278637,NULL,1,xxx,"2025-11-03 11:31:23"
1278638,NULL,1,xxx,"2025-11-03 11:32:41"
